"Sample ID","Taxon","Kingdom/SuperKingdom","Phylum","Class","Order","Family","Genus","Species","Relative Abundance","Absolute Abundance"
"MBSMPL0020-15-1","286","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","N/A","0.000193","3"
"MBSMPL0020-15-1","561","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella","N/A","0.337163","5253"
"MBSMPL0020-15-1","724","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","N/A","0.007702","120"
"MBSMPL0020-15-1","816","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","N/A","0.578498","9013"
"MBSMPL0020-15-1","1279","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","N/A","0.00199","31"
"MBSMPL0020-15-1","1301","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","N/A","0.049615","773"
"MBSMPL0020-15-1","1350","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","N/A","0.002567","40"
"MBSMPL0020-15-1","1380","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","N/A","0.000963","15"
"MBSMPL0020-15-1","1485","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","N/A","0.008344","130"
"MBSMPL0020-15-1","1654","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","N/A","0.000385","6"
"MBSMPL0020-15-1","1678","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","N/A","0.001027","16"
"MBSMPL0020-15-1","29465","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella","N/A","0.011553","180"
"MBSMPL0020-15-11","200","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter curvus","0.00193","86"
"MBSMPL0020-15-11","570","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","N/A","0.042723","1904"
"MBSMPL0020-15-11","724","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","N/A","0.000067","3"
"MBSMPL0020-15-11","816","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","N/A","0.001077","48"
"MBSMPL0020-15-11","823","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","0.054414","2425"
"MBSMPL0020-15-11","824","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter gracilis","0.000561","25"
"MBSMPL0020-15-11","827","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter ureolyticus","0.002244","100"
"MBSMPL0020-15-11","1301","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","N/A","0.00018","8"
"MBSMPL0020-15-11","1380","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","N/A","0.000157","7"
"MBSMPL0020-15-11","1527","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerocolumna","Anaerocolumna aminovalerica","0.000224","10"
"MBSMPL0020-15-11","1578","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","N/A","0.004061","181"
"MBSMPL0020-15-11","1633","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus vaginalis","0.000449","20"
"MBSMPL0020-15-11","1654","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","N/A","0.004802","214"
"MBSMPL0020-15-11","1678","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","N/A","0.155679","6938"
"MBSMPL0020-15-11","2049","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","N/A","N/A","0.000112","5"
"MBSMPL0020-15-11","29465","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella","N/A","0.052865","2356"
"MBSMPL0020-15-11","29466","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella","Veillonella parvula","0.015685","699"
"MBSMPL0020-15-11","47678","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae","0.361464","16109"
"MBSMPL0020-15-11","47715","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus rhamnosus","0.002423","108"
"MBSMPL0020-15-11","84111","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","N/A","0.000651","29"
"MBSMPL0020-15-11","84112","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","Eggerthella lenta","0.001077","48"
"MBSMPL0020-15-11","84163","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Cryptobacterium","Cryptobacterium curtum","0.001907","85"
"MBSMPL0020-15-11","150022","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Finegoldia","N/A","N/A","0.000381","17"
"MBSMPL0020-15-11","162289","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptoniphilus","N/A","N/A","0.001818","81"
"MBSMPL0020-15-11","165779","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerococcus","N/A","N/A","0.000965","43"
"MBSMPL0020-15-11","184869","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Varibaculum","N/A","0.001414","63"
"MBSMPL0020-15-11","187326","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera","Megasphaera micronuciformis","0.013979","623"
"MBSMPL0020-15-11","357276","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides dorei","0.177175","7896"
"MBSMPL0020-15-11","375288","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","N/A","0.094713","4221"
"MBSMPL0020-15-11","620903","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Negativicoccus","Negativicoccus succinicivorans","0.000539","24"
"MBSMPL0020-15-11","1528099","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella","Lawsonella clevelandensis","0.000269","12"
"MBSMPL0020-15-11","1912894","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides kribbi","0.003164","141"
"MBSMPL0020-15-11","N/A","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis","N/A","0.00083","37"
"MBSMPL0020-15-1110","105841","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes caccae","0.003333","187"
"MBSMPL0020-15-1110","33038","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus] gnavus group","N/A","0.047983","2692"
"MBSMPL0020-15-1110","184869","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Varibaculum","N/A","0.00025","14"
"MBSMPL0020-15-1110","204441","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","N/A","N/A","N/A","0.003904","219"
"MBSMPL0020-15-1110","261299","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Intestinibacter","Intestinibacter bartlettii","0.007094","398"
"MBSMPL0020-15-1110","292800","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","Flavonifractor plautii","0.016701","937"
"MBSMPL0020-15-1110","357276","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides dorei","0.298879","16768"
