"Sample ID","Taxon","Kingdom/SuperKingdom","Phylum","Class","Order","Family","Genus","Species","Relative Abundance","Absolute Abundance"
"MBSMPL0020-15-100","570","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","N/A","0.010681","56"
"MBSMPL0020-15-100","816","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","N/A","0.000954","5"
"MBSMPL0020-15-100","838","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","N/A","0.003815","20"
"MBSMPL0020-15-100","853","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii","0.001717","9"
"MBSMPL0020-15-100","1243","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","N/A","0.001335","7"
"MBSMPL0020-15-100","1263","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","N/A","0.016594","87"
"MBSMPL0020-15-100","1269","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus","N/A","0.007057","37"
"MBSMPL0020-15-100","1279","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","N/A","0.065039","341"
"MBSMPL0020-15-100","1301","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","N/A","0.079535","417"
"MBSMPL0020-15-100","1350","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","N/A","0.227732","1194"
"MBSMPL0020-15-100","1357","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","N/A","0.023651","124"
"MBSMPL0020-15-100","1378","Bacteria","Firmicutes","Bacilli","Staphylococcales","Gemellaceae","Gemella","N/A","0.002098","11"
"MBSMPL0020-15-100","1380","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","N/A","0.000954","5"
"MBSMPL0020-15-100","1485","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","N/A","0.039481","207"
